Date,Bitcoin.tone,Bitcoin.vol,Ethereum.tone,Ethereum.vol
2017-01-01 00:00:00,-1.3959,0.7069,-1.4038,0.6964
2017-01-02 00:00:00,-1.3467,0.513,-1.3653,0.4951
2017-01-03 00:00:00,-0.9568,0.5906,-0.9794,0.566
2017-01-04 00:00:00,-1.2207,0.5819,-1.2235,0.5677
2017-01-05 00:00:00,-1.1501,0.6268,-1.1485,0.6087
2017-01-06 00:00:00,-1.4113,0.7451,-1.4193,0.7266
2017-01-07 00:00:00,-1.4771,0.3879,-1.4849,0.3703
2017-01-08 00:00:00,-1.6477,0.4161,-1.6914,0.4026
2017-01-09 00:00:00,-1.2206,0.5866,-1.1424,0.5599
2017-01-10 00:00:00,-1.1968,0.5897,-1.0977,0.5621
2017-01-11 00:00:00,-1.2128,0.5655,-1.1783,0.5432
2017-01-12 00:00:00,-1.0545,0.6169,-1.0282,0.5797
2017-01-13 00:00:00,-0.9104,0.622,-0.9056,0.5959
2017-01-14 00:00:00,-1.508,0.5373,-1.5269,0.5234
2017-01-15 00:00:00,-1.5675,0.4733,-1.5813,0.4564
2017-01-16 00:00:00,-1.2654,0.6283,-1.2899,0.611
2017-01-17 00:00:00,-0.7721,0.6917,-0.7673,0.6707
2017-01-18 00:00:00,-0.1725,0.7731,-0.1512,0.7538
2017-01-19 00:00:00,-0.9331,0.6116,-0.9397,0.589
2017-01-20 00:00:00,-1.5701,0.7087,-1.5866,0.6949
2017-01-21 00:00:00,-1.3528,0.351,-1.368,0.3436
2017-01-22 00:00:00,-1.4123,0.2842,-1.4528,0.2718
2017-01-23 00:00:00,-1.1895,0.5115,-1.2033,0.4946
2017-01-24 00:00:00,-1.1169,0.5479,-0.8217,0.5071
2017-01-25 00:00:00,-0.7492,0.5152,-0.7361,0.4991
2017-01-26 00:00:00,-0.6199,0.5184,-0.6398,0.5019
2017-01-27 00:00:00,-0.7739,0.5463,-0.7801,0.5269
2017-01-28 00:00:00,-1.615,0.3479,-1.6639,0.337
2017-01-29 00:00:00,-0.9747,0.306,-0.9833,0.2906
2017-01-30 00:00:00,-1.1381,0.4153,-1.121,0.3962
2017-01-31 00:00:00,-1.1983,0.5966,-1.1854,0.5812
2017-02-01 00:00:00,-1.1726,0.5798,-1.1599,0.5742
2017-02-02 00:00:00,-0.7679,0.5074,-0.756,0.4943
2017-02-03 00:00:00,-1.2982,0.593,-1.335,0.5777
2017-02-04 00:00:00,-1.2687,0.4416,-1.2621,0.4297
2017-02-05 00:00:00,-1.3523,0.3476,-1.4074,0.3357
2017-02-06 00:00:00,-1.5925,0.6164,-1.6199,0.5971
2017-02-07 00:00:00,-1.5485,0.67,-1.5707,0.6527
2017-02-08 00:00:00,-1.4049,0.5735,-1.4099,0.549
